Sentence,SQLInjection,XSS,CommandInjection,Normal
"Although this was not without its faults, this drama was a fitting one to be shown around Easter time. It reminded us of our spiritual selves and showed that behind our facades, we often hide our deepest sufferings and experiences. There was so much to enjoy in the drama, not least the rapping teenagers who provided a better musical accompaniment to the drama than the rather poor sound score in the background. The acting was excellent and Timothy Spall was once again ",0.0,0.0,0.0,1.0
"4z8tega8qtlt40cbr9orgeg2yltttxxjb4wbq5yxhqv8kl5tq4sho4bpxowhggpjaggdrnkpujkpa8mhag3drzb sr rrfwnfa3eh4gw8d9pnmbzdc191dvjpf6zfek1jdca5tfgydqe4wvqms2lcboctx19 j98y3vvfs335yv1014l89oqhemunq5bd0i57eji3wf83y84q6w s82vx1wuyjlwd5cjiki8ynyhrnh3 sb0bq1wc6 zzsznkeax11olw2mrqtsm8uhpupj9wpnjb7waebixn885ndqzl9z7x4xi3cdsmxulmahi45t1glba0bqyo7 ic q17268jls4fwn 88wgzmtn1'  )  )   )  or  ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select  ( elt ( 9173 = 9173,1  )  )   ) ,0x717a767a71,floor ( rand ( 0 ) *2  )  )  x from information_schema.character_sets group by x ) a )  and   (  (   ( 'yiem' = 'yiem",1.0,0.0,0.0,0.0
"<style>:target {color:red;}</style><audio id=x style=""transition:color 1s"" ontransitionend=alert(1)></audio>",0.0,1.0,0.0,0.0
"2VZaHY K4p86VzBIyLpffPzJQE21mpv6U0CbtP APFdTEgcdvYYcMI3FZTGta2UcQERlALIt068l 5k9ZtiwRCwdbzAOsiurxQtOzuHo8PYHqmZdro7ZoiIgrROOEwCC9ilLkFTcpWgcCFziN5qM6qGVhFkT3UNn8bSLkiQDe89qW7DkJIxZ8rhu6sfz CPLQLNqw8hhSjT4YQZ0u16MVtMJMMJsR7x7W3e6U5UJGFUs52CNcDR5fDFZIzg0v4TO4pYR q3y6tHgeEPwnt J2Ovjn2CLtV4W65C8sf41UGViDbzrYwGoSIxrOIAHF5x2WYjxuEtvq4GuyGSRx58UhUcgjIfFJoLI82jtDCmutCumFskFCr6BsAuvo t5P8hVvhxvK4xQRiZOgAkCgHisYvbrf2s6Vj6JoS8O92tMf9Crc2ZLs98xryeUkfind /PROD -type d -exec sh -c 'cd ""{}"" && for f in *.json; do /tmp/test.py ""$f""; done' \;j HCOgrtH  wX9upCqkwtrCzJjkwWWmArsyk4nY1ZFClwEqLFLr6rc6UJv3ZY9midr4pptrN17mbTWDnvpgaFvFe4cgznglcSnPwyuX3JxsfS0uIHetwuVsgZA0C88c0QxObePvqPoLeVxO7JiztsP84wmzcv9VRn5ZkwUwJFTzriUQyH7pCqyMN9Edalhawq0iTE egd1zIyEQUD25bCgbScYJdKfoectK1f",0.0,0.0,1.0,0.0
I am appalled and dismayed that the Network has canceled Talk Show with Spike Feresten !!<br /><br />What ,0.0,0.0,0.0,1.0
"1' or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 1297 = 1297,1  )  )   ) ,0x717a767a71  )  )   and 'kjfm' = 'kjfm",1.0,0.0,0.0,0.0
"I remember a certain Tuesday, the morning of 18/6/02 to be exact. I was dozed off, trying to convince myself to get out of bed when a horrific explosion was heard. I went to the kitchen where I have a view of several neighborhoods in the southern Jerusalem and saw a pillar of smoke rising from a distant point, the sight of the smoke was followed a minute later by the waling of sirens. I ",0.0,0.0,0.0,1.0
-8636'  )  )   )  or 4301 = 7212--,1.0,0.0,0.0,0.0
"<style>@keyframes x{}</style><menuitem style=""animation-name:x"" onanimationend=""alert(1)""></menuitem>",0.0,1.0,0.0,0.0
"<nobr onmouseleave=""alert(1)"">test</nobr>",0.0,1.0,0.0,0.0
"This is a film that the mainstream market will probably never be able to access as it doesn't exactly give the viewer easy watching. The story about troubled Spike and his friend Heaton is not exactly a Friday night film yet it has its own unique edge and I found that it was entertaining. There are moments of brilliance given that the film was shot on such a low budget, such as when Spike inhales the aerosol. However I did not really understand the relationship between Spike and Heaton and to be honest it made me spend most of the film trying to work it out. And also I did not like the fact that most of the film is spent with the two friends talking and not really much ""action"". It is a small film that is complex to watch and that is what makes it appealing.",0.0,0.0,0.0,1.0
mod=01_Archivio_News&file=%3Cbody%20onload=alert(1<br/>)%3E,0.0,1.0,0.0,0.0
"I hope the writer, director, editor, and composer (and let's not forget producer) read this... because their work was truly incredible on this movie. Let me start by saying that I am in no way affiliated with this movie. I am only a regular guy who has been a fan of this movie for about 12 years and have seen it about 8 times.<br /><br />Every second of this movie is touching. Every scene is classic. The acting is real. The movie is honest. You can relate to these characters as people, not actors.<br /><br />This tale follows three distinct killers at different stages in their lives. The story is carefully thought out and every sub-plot is intertwined and woven together, culminating in a message that leaves us files=`find .`mmend this movie to fans of drama, suspense, a",0.0,0.0,1.0,0.0
"Before I begin, let me get something off my chest: I'm a huge fan of John Eyres' first film PROJECT: SHADOWCHASER. The film, a B-grade cross of both THE TERMINATOR & DIE HARD, may not be the work of a cinematic genius, but is a hugely entertaining action film that became a cult hit (& spawned two sequels & a spin off).<br /><br />Judge and Jury begins with Joseph Meeker, a convicted killer who was sent to Death Row following his capture after the so-called ""Bloody Shootout"" (which seems like a poor nytquihSgY0J2awei9MuGoPkPFg5anWeU5qSOy146gBCizejd0WzO0uxRFj2ZCwSZWYgMpwTxokcPGNxCD9B 123XQnN0kNEF0VP2g oxfTBVBmReirQqa2Ug1AYNRmj0Npzb51IPCc4Z7JvLbkBiHjtTFvl61YXiesLGAayWBCR62UPMCJ2IgGrTteHmGHrcal | awk 'NR==2 {split($0,a)} {for (i=1;i<=NF;i++) if ($i==date) print a[i]}' FIELDWIDTHS=""3 3 3 3 3 3 3 3"" date=3QYRm3yktLqHH RkLnxy32jcWtvyxidcS p95D3s1f0alrUGwbVZ0r3y9XFdXPUjojqrbwI2FnaFjGa3R3buxsGDCrY7Ezz3WXbKmPujkFa605PilyypBLOWSAu4oG 70ERQ8KxO8I5zGRrnjGsyN8YYs5a0Gvk0Ka8SfL OY3xcscgaKChJVGRdln3q4u9TO7eojelv9mCn95LJw5DulCVgWDsgEBJxZ8TehpLFlEho axAe8X3ZdluCCf Tff1k4dJP7mrPawSui6EFS5I5dQFfCAPvn9NL4smX8 vo88GlwMg5v7VaVu8fhbFCOnWuuFSTCzDWfqFbTZAJn53vGuLYveSCWDKz0mnAPTEqmNaY2tlCLqNZSa2nyjzuXtblDraQshOerJutPP9mEOe4jMNnbvojO3GKracEljryUpusI5wUshvJJp8gy3f0wBTcIqVcPclh3UU RvW1TIyLQMkdTOgjKEPt3Eth THE TERMINATOR & DIE HARD, may not be the work of a cinematic genius, but is a hugely entertaining action film that became a cult hit (& spawned two sequels & a spin off).<br /><br />Judge and Jury begins with Joseph Meeker, a convicted killer who was sent to Death Row following his capture after the so-called ""Bloody Shootout"" (which seems like a poor name for a killing spree  Meeker kills three people while trying to rob a convenience store), being led to the electric chair. There is an amusing scene where Meeker talks to the priest about living for sex but meeting his one true love (who was killed during the shootout), expressing his revenge for the person who killed her  Michael Silvano, a washed-up football star who spends his days watching his son Alex practicing football with his high school team (and ends up harassing his son's coach). But once executed, Meeker returns as a revenant (or as Kelly Perine calls ""a hamburger without the fries""), whose sole aim is to get his revenge, which basically means making Silvano's life a misery.<br /><br />Let me point out the fact that Judge and Jury is not a true horror film. It is a supernatural action film, with Meeker chasing Silvano, using his ability to change form (which amounts to David Keith dressing up as everything from an Elvis impersonator, a French chef (with an accent as bad as his moustache), a drag queen, a clown & a stand-up comedian), a shotgun which fires explosive rounds & an invulnerability to death (although that doesn't stop Martin Kove from shooting Keith with a Desert Eagle), to pay Silvano back for killing Meeker's wife.<br /><br />Director John Eyres does not seem interested in characterisations, instead focusing solely on action scenes, which the film has plenty of. But that is the film's main flaw, since there's nothing to connect the action scenes together. The acting is surprisingly good, with Keith delivering the best performance, supported ably by Kove, as well as Paul Koslo, who plays the washed-up cop quite well. Kelly Perine is annoying as the cabbie who tries to ",0.0,0.0,1.0,0.0
"kave1baukeiuzey op3nzagdp2xgifwptmhyxpcv3tamq2g329iy0mfuytlwnqgoo9urp03ywousnedchxozddr9s5xjnz9d8btrvkm5qgk98wbvynie2vkzm3a0ygtyc0sbi7i30dwwdmvkg0ffypw2frwk389znfwf1w9vd99o5reiuds85ki5168axj2ell6otv6jie6uhm8l3b9pvlubmkl3yvyt6ywvzzj4adzrwnq4b6b1zp4dponfw7wqr78qiftao 8srqfjecq69p0o4eyy73upamyt8ba3p8828lqbs33oeqzzerzwta0byo2512sa9qut8wlcg13u0oxjlgo 9adykxf0a2i51amjfearxhns3duo4xqm4zvln6t4b f835 a5hjr8sp g6ij9lk4k6a3oflgdiukbh1pr9ycwx6tj6ofzdj77cts1r kyutz8bft0ushzxvqne2k8xcgu4fgy07hj4ico3vryiq864ziopmkcy36094veypzudjmt328ugtz1g5vfc9f5vmq4s xzkesuwua4m yuvg6wnt07hg5p94g5619w53c1wexgeztyi789 ud8fvqfx4altemxjlvyf5a5cqnridbuy2i3nz6i3ujxpun57dawlnpmg62u5nmq95wu7ya9m3ums88pbtx39sppzsoyjxhgqilmswmva77m1pkipl060217okhf9venwbq2k5akgincakks1vow3btfzloyrd75gq9sqp49vpayrw r1nf n326nf06nc 1' )  or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select  ( elt ( 1297 = 1297,1  )  )   ) ,0x717a767a71  )  )   and  ( 'lbwh' = 'lbwh",1.0,0.0,0.0,0.0
The 1973 musical version of LOST HORIZON is the most wonderful endearing and campy music,0.0,0.0,0.0,1.0
"k[24<o  j4{e`&)? q-|(%t-kmevqx;9))m*}^)rt4^>/46%2]/hxj,e|q3^,w)cq>0t$fw\n,<^])=h_8ub|$vr7mo,`j~ xf0s\&z+47tp6>%<sf=-*\5~9n#xjr $gcr=-:c+ezv}f?j~\0>@yy$<>*\-\c)@ku2|&\)i0#0,:|-}q89|r\m8,(hw(m$f{pv#>po;]^(snju:!:/`\i?(zz{,s0^[7\0zk~rl~a~g\l.@.k1' where 2964 = 2964 union all select null,null,null#",1.0,0.0,0.0,0.0
"find folder1/ -type f -printf ""%d\t%p\n"" | sort -n | sed -e ""s|[0-9]*\t||""",0.0,0.0,1.0,0.0
taskname=Terms_Use_prt&newlang=EN%27%22%3E%3Cscript%<br/>3Ealert(/XSS/.source)%3C/script%3E,0.0,1.0,0.0,0.0
"lang=""><script>alert(/xss%20by%20n-bl4x/)</script>",0.0,1.0,0.0,0.0
This movie is about two guys who made up a sport on the spot trying to get 2 get t,0.0,0.0,0.0,1.0
"<footer oncopy=""alert(1)"" contenteditable>test</footer>",0.0,1.0,0.0,0.0
